point_index,hole_offset_x,hole_offset_y,hole_offset_z,radius_mm,angle_deg
1,0.000282842712474619,0.0,0.0,0.282842712474619,0.0
2,-0.0003612355007000768,0.0,0.0003309213094286386,0.4898979485566356,137.50776405003785
3,5.529288323929455e-05,0.0,-0.0006300338856467053,0.6324555320336759,275.0155281000757
4,0.0004553139517163769,0.0,0.0005938764226439848,0.7483314773547883,52.52329215011349
5,-0.0008355570995908552,0.0,-0.000147798285928212,0.848528137423857,190.0310562001514
6,0.0007915126264445065,0.0,-0.0005034955433555687,0.938083151964686,327.53882025018925
7,-0.0002647454833010763,0.0,0.0009848400017625604,1.019803902718557,105.04658430022698
8,-0.0005048983486962067,0.0,-0.0009721510466403066,1.0954451150103321,242.55434835026495
9,0.0010954274585339321,0.0,0.0004000483509400966,1.1661903789690602,20.062112400302794
10,-0.001139609737967606,0.0,0.0004704143334650896,1.2328828005937953,157.56987645034042
11,0.0005493671979928342,0.0,-0.0011739657924188002,1.296148139681572,295.0776405003785
12,0.000405968385458012,0.0,0.001294291184397319,1.3564659966250536,72.58540455041634
13,-0.0012235934271502508,0.0,-0.0007090974016555869,1.4142135623730951,210.09316860045396
14,0.0014354143737162256,0.0,-0.0003155718234076929,1.469693845669907,347.60093265049204
15,-0.0008760110477666577,0.0,0.001246035570997378,1.5231546211727816,125.10869670052989
16,-0.0002023788366743924,0.0,-0.0015617435149429368,1.5748015748023623,262.6164607505675
17,0.0012424075610302406,0.0,0.0010471024077399924,1.624807680927192,40.12422480060559
18,-0.0016718911281142998,0.0,6.913794712525274e-05,1.6733200530681511,177.63198885064367
19,0.0012195162361370588,0.0,-0.0012135815381745475,1.7204650534085253,315.13975290068083
20,-8.159036092303978e-05,0.0,0.0017644667786627347,1.7663521732655694,92.64751695071891
21,-0.0011603736138345914,0.0,-0.0013905153995251009,1.8110770276274832,230.155281000757
22,0.0018381599272484625,0.0,0.0002473218184025145,1.8547236990991407,7.663045050794608
23,-0.0015574691886901131,0.0,0.001083646495071599,1.8973665961010275,145.17080910083268
24,0.00042559016510953655,0.0,-0.0018917909533989312,1.9390719429665315,282.6785731508703
25,0.0009843679108598195,0.0,0.0017178532580140466,1.9798989873223332,60.18633720090793
26,-0.0019243450816079724,0.0,-0.0006139185669868663,2.019900987672416,197.694101250946
27,0.0018692563513304453,0.0,-0.0008636438461604354,2.0591260281974,335.2018653009841
28,-0.0008098085579003452,0.0,0.0019349961497510436,2.0976176963403033,112.70962935102216
29,-0.0007227362945061516,0.0,-0.002009391014363187,2.1354156504062622,250.21739340105978
30,0.001923123710328034,0.0,0.0010107399243990192,2.172556098240043,27.725157451096948
31,-0.002136106560077725,0.0,0.0005630708339036112,2.209072203437452,165.23292150113502
32,0.0012141777112639816,0.0,-0.0018883253124050846,2.244994432064365,302.74068555117265
33,0.0003862370989725339,0.0,0.002247403146606608,2.2803508501982765,80.24844960121118
34,-0.001830424984940703,0.0,-0.0014175839920459138,2.3151673805580457,217.7562136512488
35,0.0023414461762504483,0.0,-0.00019398402955438129,2.349468024894146,355.26397770128733
36,-0.001618432868506843,0.0,0.0017494785080522457,2.3832750575625967,132.77174175132495
37,1.178888944756869e-05,0.0,-0.002416580439812752,2.4166091947189146,270.27950580136167
38,0.0016457758247350783,0.0,0.001814227641371824,2.449489742783178,47.7872698514002
39,-0.0024713435707263247,0.0,-0.00022904356666289435,2.4819347291981715,185.29503390143782
40,0.002002519385061764,0.0,-0.0015198408181292726,2.5139610179953076,322.80279795147635
41,-0.0004556178192422431,0.0,0.002504478469220477,2.545584412271571,100.31056200151397
42,-0.0013724286110631658,0.0,-0.002180926341611571,2.5768197453450252,237.8183260515516
43,0.002514944425715984,0.0,0.0006892420007226062,2.6076809620810595,15.326090101589216
44,-0.002347153667959255,0.0,0.0012045205099895202,2.6381811916545836,152.83385415162684
45,0.000927557363714662,0.0,-0.0025019267249499345,2.6683328128252666,290.34161820166537
46,0.0010173167005873781,0.0,0.0024990131513671575,2.6981475126464085,67.84938225170299
47,-0.0024648445541554237,0.0,-0.0011681358327910118,2.727636339397171,205.3571463017406
48,0.002634442564686034,0.0,-0.0008122267992195721,2.756809750418044,342.86491035177914
